Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
696a70b4c9c22e92e6da79c7,5724e865386f1b0013e9563a,APPROVED,Not Applicable,2026-01-16T17:09:11.454000Z,2026-01-16T17:20:33.004000Z,2026-01-17T00:57:11.415000Z,2026-01-16T17:20:33.388415Z,682.0,CV24Z7Q9,2903,33,Female,DATA_EXPIRED,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
696a789369a7e7dfe69f7b7d,67151a9102f79a93582370aa,APPROVED,Not Applicable,2026-01-16T17:42:46.306000Z,2026-01-16T17:55:03.716000Z,2026-01-17T00:57:11.675000Z,2026-01-16T17:55:04.055026Z,738.0,CV24Z7Q9,1734,36,Male,White,United States,United States,United States,English,No,Part-Time
696a789dc8c7875ea30283a5,64650afa150778d11c8b81db,APPROVED,Not Applicable,2026-01-16T17:42:56.822000Z,2026-01-16T17:57:05.197000Z,2026-01-17T00:57:11.910000Z,2026-01-16T17:57:05.541441Z,849.0,CV24Z7Q9,102,54,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
696a78a20fca5f090a3b0f0d,60bd28cc95ab27d4f4f6ada3,APPROVED,Not Applicable,2026-01-16T17:43:05.023000Z,2026-01-16T17:53:39.324000Z,2026-01-17T00:57:12.149000Z,2026-01-16T17:53:39.688576Z,635.0,CV24Z7Q9,11212,58,Male,White,United States,United States,United States,English,No,Full-Time
696a78a70c99f108635c76f2,67d4ab2b6bcf2affcb4d66ec,APPROVED,Not Applicable,2026-01-16T17:43:07.339000Z,2026-01-16T17:54:31.420000Z,2026-01-17T00:57:12.383000Z,2026-01-16T17:54:31.771787Z,685.0,CV24Z7Q9,2639,71,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
696a78aaee5c07879ed415a0,62dfdd3c61b792d28de9d0e3,APPROVED,Not Applicable,2026-01-16T17:43:11.731000Z,2026-01-16T17:56:05.901000Z,2026-01-17T00:57:12.638000Z,2026-01-16T17:56:06.258495Z,775.0,CV24Z7Q9,1052,32,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
696a78ab51f9ad30411c6fa8,60ec03471451032a030cfec1,APPROVED,Not Applicable,2026-01-16T17:43:09.408000Z,2026-01-16T17:52:22.512000Z,2026-01-17T00:57:12.875000Z,2026-01-16T17:52:22.932534Z,554.0,CV24Z7Q9,1572,31,Female,White,United States,United States,United States,English,No,Full-Time
696a78ab68ceaae5fd8b05a0,62903d86dad1252ede51100f,APPROVED,Not Applicable,2026-01-16T17:43:14.348000Z,2026-01-16T17:56:10.506000Z,2026-01-17T00:57:13.122000Z,2026-01-16T17:56:10.856599Z,777.0,CV24Z7Q9,2148,43,Female,Black,United States,United States,United States,English,Yes,Full-Time
696a78b266ffa4b112f5fec0,5bb7af73dd840f0001d85935,APPROVED,Not Applicable,2026-01-16T17:43:22.859000Z,2026-01-16T17:54:19.894000Z,2026-01-17T00:57:13.360000Z,2026-01-16T17:54:20.305658Z,658.0,CV24Z7Q9,7459,66,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
696a78bc9e9ee0a477f150db,675354c455030f7ac6a19d47,APPROVED,Not Applicable,2026-01-16T17:43:29.271000Z,2026-01-16T17:52:53.078000Z,2026-01-17T00:57:13.631000Z,2026-01-16T17:52:53.450787Z,564.0,CV24Z7Q9,508,45,Male,White,United States,United States,United States,English,No,Full-Time
696a78db4f0a0dd760062ee2,5c003b5c2c8cc1000138e25f,APPROVED,Not Applicable,2026-01-16T17:44:02.092000Z,2026-01-16T18:01:55.581000Z,2026-01-17T00:57:13.886000Z,2026-01-16T18:01:55.928897Z,1074.0,CV24Z7Q9,3530,33,Male,White,United States,United States,United States,Portuguese,No,Full-Time
696a78e761c0b0c16fe0c9fa,628f7e982aad1788d940317a,APPROVED,Not Applicable,2026-01-16T17:44:10.526000Z,2026-01-16T17:55:58.568000Z,2026-01-17T00:57:14.134000Z,2026-01-16T17:55:58.934166Z,709.0,CV24Z7Q9,14294,71,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
696a78efcedc56d2024c1a55,66b7b73c279098a78694bc0a,APPROVED,Not Applicable,2026-01-16T17:44:23.482000Z,2026-01-16T18:01:45.109000Z,2026-01-17T00:57:14.416000Z,2026-01-16T18:01:45.472681Z,1042.0,CV24Z7Q9,352,69,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
696a78f0d8aafeee30ff8dfa,6369700320bc7dd22e733009,APPROVED,Not Applicable,2026-01-16T17:44:26.100000Z,2026-01-16T17:55:19.521000Z,2026-01-17T00:57:14.672000Z,2026-01-16T17:55:19.883865Z,654.0,CV24Z7Q9,10143,67,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
696a79047191a8aae4fbb0f5,66f878234e0e0f8629c315c0,APPROVED,Not Applicable,2026-01-16T17:44:40.468000Z,2026-01-16T17:57:22.695000Z,2026-01-17T00:57:14.914000Z,2026-01-16T17:57:23.042410Z,763.0,CV24Z7Q9,3123,30,Female,White,United States,United States,United States,Russian,No,Full-Time
696a790ab2d2d905b9f12784,6234afc11b0f28d2f618991c,APPROVED,Not Applicable,2026-01-16T17:44:47.196000Z,2026-01-16T17:57:48.101000Z,2026-01-17T00:57:15.146000Z,2026-01-16T17:57:48.459474Z,781.0,CV24Z7Q9,4967,52,Male,White,United States,United States,United States,English,No,Full-Time
