Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
696ab2470f36a68e5b1e82a3,62d133496cf7f774b8bf98a0,APPROVED,Not Applicable,2026-01-16T21:49:12.374000Z,2026-01-16T22:04:09.736000Z,2026-01-17T03:30:10.635000Z,2026-01-16T22:04:10.153701Z,898.0,CNYPV5QR,6995,51,Female,White,United States,United States,United States,English,No,Other
696ab69c220ed471429fbe9b,5ffff3ac6fc9001772ea3312,APPROVED,Not Applicable,2026-01-16T22:07:32.681000Z,2026-01-16T22:14:19.513000Z,2026-01-17T03:30:10.894000Z,2026-01-16T22:14:20.030511Z,407.0,CNYPV5QR,5066,34,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
696abda4630c68c82d49d968,5a4bf09053a4560001ba0ebf,APPROVED,Not Applicable,2026-01-16T22:37:29.954000Z,2026-01-16T22:48:29.717000Z,2026-01-17T03:30:11.140000Z,2026-01-16T22:48:30.077687Z,660.0,CNYPV5QR,12986,38,Male,White,United States,United States,United States,English,No,Full-Time
696abda46b1cdebe8c0c598b,6310bf2d4897ec60e9079b63,APPROVED,Not Applicable,2026-01-16T22:37:30.216000Z,2026-01-16T22:47:20.316000Z,2026-01-17T03:30:11.480000Z,2026-01-16T22:47:20.670367Z,591.0,CNYPV5QR,5568,22,Female,Asian,United States,United States,United States,Chinese,No,DATA_EXPIRED
696abdac811edcf1cddf5552,6681cd8b12dcb4b45a155c03,APPROVED,Not Applicable,2026-01-16T22:39:19.428000Z,2026-01-16T22:49:24.540000Z,2026-01-17T03:30:11.784000Z,2026-01-16T22:49:35.874790Z,606.0,CNYPV5QR,2134,22,Prefer not to say,White,United States,United States,United States,English,DATA_EXPIRED,Part-Time
696abdaf3414463c99a9916c,5e437d7404eaba215eafbd2a,APPROVED,Not Applicable,2026-01-16T22:37:44.012000Z,2026-01-16T22:59:04.243000Z,2026-01-17T03:30:12.068000Z,2026-01-16T22:59:04.578475Z,1281.0,CNYPV5QR,9754,43,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
696abdafad4ab291458d46cf,5b20c5e04c72120001f25dda,APPROVED,Not Applicable,2026-01-16T22:37:39.631000Z,2026-01-16T22:47:03.857000Z,2026-01-17T03:30:12.348000Z,2026-01-16T22:47:04.253324Z,565.0,CNYPV5QR,3387,38,Male,White,United States,United States,United States,English,Yes,Unemployed (and job seeking)
696abdb1958618d23e1e6565,5d4252914733ca0018ff29d7,APPROVED,Not Applicable,2026-01-16T22:37:41.514000Z,2026-01-16T22:55:43.148000Z,2026-01-17T03:30:12.603000Z,2026-01-16T22:55:43.493612Z,1082.0,CNYPV5QR,5275,58,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
696abdb24995b4b9c218a3af,67ca78ca7413c0e71f97c9ba,APPROVED,Not Applicable,2026-01-16T22:37:41.186000Z,2026-01-16T22:52:45.755000Z,2026-01-17T03:30:12.847000Z,2026-01-16T22:52:46.093389Z,905.0,CNYPV5QR,1985,34,Male,Other,United States,United States,United States,English,No,Full-Time
696abdb2f0d71245821e632f,5c31847f10677f0001ddc781,APPROVED,Not Applicable,2026-01-16T22:37:43.198000Z,2026-01-16T22:54:07.636000Z,2026-01-17T03:30:13.099000Z,2026-01-16T22:54:07.973022Z,985.0,CNYPV5QR,6411,41,Female,White,United States,United States,United States,English,No,Full-Time
696abdb2f356c178646e398b,60d7b3469a65ac7408cb9dd3,APPROVED,Not Applicable,2026-01-16T22:37:42.234000Z,2026-01-16T22:49:09.747000Z,2026-01-17T03:30:13.335000Z,2026-01-16T22:49:10.103091Z,688.0,CNYPV5QR,10405,62,Male,White,United States,United States,United States,English,No,Full-Time
696abdb58446f5a8e39d61fc,609ee7a707f13c414e5e87ec,APPROVED,Not Applicable,2026-01-16T22:37:41.697000Z,2026-01-16T22:49:20.564000Z,2026-01-17T03:30:14.184000Z,2026-01-16T22:49:29.452534Z,699.0,CNYPV5QR,6757,48,Female,White,United States,United States,United States,English,No,Full-Time
696abdba655fb37306451271,5b5c8d4e10aec90001ed4bee,APPROVED,Not Applicable,2026-01-16T22:37:51.894000Z,2026-01-16T22:44:24.926000Z,2026-01-17T03:30:14.432000Z,2026-01-16T22:44:25.245944Z,394.0,CNYPV5QR,4179,26,Female,White,United States,United States,United States,English,No,Full-Time
696abdbb336f6d45d715a0dc,694587bf33d102941b804de3,APPROVED,Not Applicable,2026-01-16T22:37:53.971000Z,2026-01-16T22:48:24.274000Z,2026-01-17T03:30:14.675000Z,2026-01-16T22:48:24.610371Z,631.0,CNYPV5QR,296,62,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
696abdc29e9ee0a477f15724,669b46825041be036247d1a2,APPROVED,Not Applicable,2026-01-16T22:37:58.936000Z,2026-01-16T22:54:36.367000Z,2026-01-17T03:30:14.933000Z,2026-01-16T22:54:36.743344Z,998.0,CNYPV5QR,3264,40,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
696abdc44aa9c65700b7dba0,63052f20afc39e87110eb83e,APPROVED,Not Applicable,2026-01-16T22:37:56.884000Z,2026-01-16T22:58:36.577000Z,2026-01-17T03:30:15.196000Z,2026-01-16T22:58:36.901728Z,1240.0,CNYPV5QR,5988,47,Male,Black,Barbados,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
696abdc49aabb4e0fac10328,5c2dae2110677f0001dd1137,APPROVED,Not Applicable,2026-01-16T22:37:59.113000Z,2026-01-16T22:48:35.776000Z,2026-01-17T03:30:15.446000Z,2026-01-16T22:48:36.123727Z,637.0,CNYPV5QR,12746,42,Male,White,United States,United States,United States,English,No,Full-Time
